
 NCe$Z (MAGNETIZATION AND ZEEMAN)    
 AL=  -1.9990	GJ=   0.8571
 FI=   0. TETA=  90.

  X(J)  -525.40002   -60.10000     0.00000     0.00000     0.00000     0.00000   764.40002     0.00000     0.00000
   232.000000       1148.24280       232.647903    
   233.000000       1147.11560       233.609131    
   234.000000       1146.00024       234.571030    
   235.000000       1144.89685       235.533691    
   236.000000       1143.80627       236.497055    
   237.000000       1142.72693       237.461197    
   238.000000       1141.65674       238.426056    
   239.000000       1140.60071       239.391632    
   240.000000       1139.55591       240.357925    
   241.000000       1138.52502       241.324982    
   242.000000       1137.50403       242.292770    
   243.000000       1136.49280       243.261200    
   244.000000       1135.49707       244.230392    
   245.000000       1134.51111       245.200272    
   246.000000       1133.53772       246.170929    
   247.000000       1132.57617       247.142273    
   248.000000       1131.62500       248.114304    
   249.000000       1130.68933       249.087082    
   250.000000       1129.76074       250.060516    
   251.000000       1128.84717       251.034698    
   252.000000       1127.94324       252.009567    
   253.000000       1127.05115       252.985153    
   254.000000       1126.17334       253.961365    
   255.000000       1125.30688       254.938354    
   256.000000       1124.45105       255.915985    
   257.000000       1123.60645       256.894348    
   258.000000       1122.77551       257.873352    
   259.000000       1121.95227       258.853088    
   260.000000       1121.14294       259.833496    
   261.000000       1120.34497       260.814545    
   262.000000       1119.55737       261.796295    
   263.000000       1118.78247       262.778778    
   264.000000       1118.01758       263.761902    
   265.000000       1117.26660       264.745636    
   266.000000       1116.52466       265.730133    
   267.000000       1115.79675       266.715240    
   268.000000       1115.07764       267.700989    
   269.000000       1114.36987       268.687469    
   270.000000       1113.67383       269.674591    
   271.000000       1112.98657       270.662354    
   272.000000       1112.31348       271.650787    
   273.000000       1111.64807       272.639862    
   274.000000       1110.99524       273.629578    
   275.000000       1110.35571       274.619965    
   276.000000       1109.72473       275.610962    
   277.000000       1109.10461       276.602661    
   278.000000       1108.49744       277.594971    
   279.000000       1107.89661       278.587921    
   280.000000       1107.30713       279.581482    
   281.000000       1106.73108       280.575714    
   282.000000       1106.16626       281.570526    
   283.000000       1105.60693       282.565979    
   284.000000       1105.05920       283.562103    
